
Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1950,2016,67,5263,2625,2638,.499,44,11,0,1
Boston Celtics,NBA/BAA,1947,2016,70,5435,3193,2242,.587,52,30,9,17
Brooklyn Nets,NBA/ABA,1968,2016,49,3933,1724,2209,.438,26,5,2,2
Charlotte Hornets,NBA,1989,2016,26,2040,886,1154,.434,9,0,0,0
Chicago Bulls,NBA,1967,2016,50,4007,2096,1911,.523,34,9,6,6
Cleveland Cavaliers,NBA,1971,2016,46,3679,1698,1981,.462,19,4,2,0
Dallas Mavericks,NBA,1981,2016,36,2862,1462,1400,.511,20,3,2,1
Denver Nuggets,NBA/ABA,1968,2016,49,3933,1958,1975,.498,33,10,0,0
Detroit Pistons,NBA/BAA,1949,2016,68,5325,2593,2732,.487,40,11,5,3
Golden State Warriors,NBA/BAA,1947,2016,70,5432,2554,2878,.470,31,8,2,4
Houston Rockets,NBA,1968,2016,49,3928,2032,1896,.517,29,5,4,2
Indiana Pacers,NBA/ABA,1968,2016,49,3932,2010,1922,.511,31,9,1,3
Los Angeles Clippers,NBA,1971,2016,46,3681,1442,2239,.392,11,2,0,0
Los Angeles Lakers,NBA/BAA,1949,2016,68,5328,3227,2101,.606,60,32,18,16
Memphis Grizzlies,NBA,1996,2016,21,1633,674,959,.413,8,0,0,0
Miami Heat,NBA,1989,2016,28,2205,1144,1061,.519,18,11,5,3
Milwaukee Bucks,NBA,1969,2016,48,3847,1966,1881,.511,28,13,2,1
Minnesota Timberwolves,NBA,1990,2016,27,2124,830,1294,.391,8,1,0,0
New Orleans Pelicans,NBA,2003,2016,14,1088,510,578,.469,6,1,0,0
New York Knicks,NBA/BAA,1947,2016,70,5434,2689,2745,.495,42,8,4,2
Oklahoma City Thunder,NBA,1968,2016,49,3928,2112,1816,.538,27,10,4,1
Orlando Magic,NBA,1990,2016,27,2123,1047,1076,.493,14,5,2,0
Philadelphia 76ers,NBA,1950,2016,67,5263,2720,2543,.517,47,11,5,3
Phoenix Suns,NBA,1969,2016,48,3846,2112,1734,.549,29,6,2,0
Portland Trail Blazers,NBA,1971,2016,46,3683,1964,1719,.533,31,5,3,1
Sacramento Kings,NBA/BAA,1949,2016,68,5326,2447,2879,.459,29,5,0,1
San Antonio Spurs,NBA/ABA,1968,2016,49,3935,2352,1583,.598,43,20,6,5
Toronto Raptors,NBA,1996,2016,21,1632,703,929,.431,7,3,0,0
Utah Jazz,NBA,1975,2016,42,3353,1792,1561,.534,25,8,2,0
Washington Wizards,NBA,1962,2016,55,4406,1981,2425,.450,27,7,4,1
